date,game_size,match_id,match_mode,party_size,player_assists,player_dbno,player_dist_ride,player_dist_walk,player_dmg,player_kills,player_name,player_survive_time,team_id,team_placement
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,1,0.0,236.40416,63,0,Lux-xXx,3.366566666666667,9,38
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,5891.52734,1362.50708,44,0,5tygfv,20.174466666666667,10,12
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,3420.9016100000003,70.29319,0,0,yjcwjh,5.134433333333333,10,12
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,0.0,2554.21777,44,0,DeadliestAyyyrab,19.230566666666665,12,15
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,0.0,2426.04834,90,1,DeadlyAyrab,19.2305,12,15
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,2759.32251,467.9161,0,0,SJSJGBT,5.4505333333333335,18,31
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,3408.53125,361.898163,0,0,cole_milk,6.027233333333333,18,31
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,0.0,106.991241,60,0,Kungfumanduhh,2.29325,23,36
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,0,0.0,260.362274,139,0,Kadeos,3.591733333333333,23,36
2017-12-10,42,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,tpp,2,0,2,5049.5415,1254.5946,171,1,pvtmartinmartin,18.5337,27,17
